X,Y,OBJECTID,FEATURECODE,DESCRIPTION,CAPTUREYEAR,CAPTUREACTION,GIS_ID
-77.0629129507732,38.9435310029582,1,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9482
-77.062934963538,38.9435219377776,2,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9481
-77.0016866783794,38.9435288870847,3,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_11088
-77.0629234729757,38.9435072064017,4,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9479
-77.060572679143,38.9434327515469,5,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9477
-77.0605866230731,38.9434166465069,6,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9476
-77.0605722924884,38.9433985472715,7,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9474
-77.0622826243764,38.9433255911711,8,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9473
-77.062308935865,38.9433252348339,9,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9472
-77.0622851854864,38.9433127259685,10,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9471
-77.0623074231563,38.9433102098126,11,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9470
-77.0765593456593,38.9432848356862,12,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_190
-77.0767186581561,38.9432847132186,13,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_189
-77.0766113343951,38.9432844593093,14,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_187
-77.076697871268,38.9432842854533,15,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_186
-77.076635452987,38.9432830562227,16,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_184
-77.0590067345837,38.9432749795979,17,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9468
-77.0589999313981,38.9432362834189,18,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9466
-77.0590196874771,38.943231814342,19,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9465
-77.029489279155,38.9431904852036,20,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_9401
-76.9754516981785,38.9431744493949,21,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8348
-76.9754513111686,38.9431593874554,22,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8346
-76.9754497356422,38.9431454693189,23,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8345
-77.102566673112,38.9430494936353,24,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9984
-77.061357733786,38.9430733347202,25,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9463
-77.0612549438326,38.9430731994566,26,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9462
-77.061228320526,38.9430730242309,27,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9461
-77.0611089311571,38.9430725191844,28,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9459
-77.0588100852856,38.9430685276205,29,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9458
-76.9750337455921,38.9430713781301,30,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8343
-76.9750488106998,38.9430708408491,31,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8342
-77.019828174024,38.9429835040352,32,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_11092
-77.0600690206843,38.9429582385389,33,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9456
-77.0601179756405,38.9429580061805,34,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9455
-77.0600930783228,38.94293901149,35,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9453
-77.0600690036207,38.9429379879108,36,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9452
-77.0577791611194,38.9428932089342,37,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9450
-77.0578018852211,38.9428930715834,38,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9449
-77.0577520853304,38.9428754759826,39,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9447
-77.0578018704084,38.9428748027779,40,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9446
-77.0640910038595,38.9428313827108,41,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9575
-77.0643261762681,38.9428250648343,42,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9574
-77.0643314925668,38.9427851731962,43,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9572
-77.064097518712,38.9427772933598,44,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9571
-77.0585914327968,38.9427414743334,45,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9444
-77.0196208000194,38.9427496838528,46,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_11090
-77.077002310906,38.9426780434753,47,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_183
-77.0769932019218,38.942660149999,48,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_182
-77.064263757111,38.9426302318147,49,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9570
-77.0641711082521,38.9425544509179,50,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9568
-77.0657945291607,38.9425511071665,51,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9567
-77.0657666479339,38.9425500869032,52,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9565
-77.0641299393018,38.9425157018255,53,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9564
-77.0641117818409,38.9425014786853,54,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9562
-77.0591558087212,38.9425023172274,55,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9443
-77.064092388872,38.9424858509263,56,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9560
-77.0641668338137,38.9424831976791,57,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9559
-77.0641488952685,38.9424686951674,58,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9558
-77.0622303739808,38.9423788386361,59,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9442
-77.062241375441,38.9423754276444,60,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9441
-77.0622594683484,38.9423690311302,61,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9439
-77.0622244818924,38.9423682840551,62,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9438
-77.0622355985523,38.9423647018451,63,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9436
-77.0622446393519,38.942361634212,64,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9435
-77.0622629514999,38.9423553276635,65,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9433
-77.0622384119365,38.9423501519562,66,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9432
-77.074418712623,38.9422791811696,67,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9555
-77.0744450464712,38.9422785698538,68,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9554
-77.0622571681632,38.9422579691275,69,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9431
-77.0668260010217,38.9422489154108,70,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9552
-77.0626068739966,38.9422297575509,71,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9550
-77.0832981481004,38.9422060790303,72,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_181
-77.0669053765172,38.9421783170609,73,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9549
-77.0770639898861,38.9421452433951,74,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_180
-77.077008436781,38.9421448025675,75,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_179
-77.0772967820139,38.9421382974345,76,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_177
-77.0773507190226,38.9421376401827,77,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_176
-77.0019223601292,38.9556932641431,78,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9351
-77.0024272596649,38.9556033252202,79,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9349
-77.0699282231007,38.9555516647474,80,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9315
-77.0832428643446,38.9555059188068,81,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9206
-77.0832335203907,38.9554871522242,82,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9205
-77.0614826254336,38.9543221431656,83,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_8916
-77.027997294941,38.9541431536483,84,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_9328
-77.0246513872811,38.9540898124159,85,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9326
-77.0138127807866,38.9540003417713,86,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9339
-77.0137916384763,38.9539063249605,87,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9337
-77.002060811539,38.9538720512755,88,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_9348
-77.0137914668437,38.9538540499929,89,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9336
-77.0136053509685,38.9536595382189,90,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9334
-77.0823158149334,38.9532259419202,91,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9680
-77.0682982694156,38.9532121713915,92,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9785
-77.0672645108337,38.9532087440467,93,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9784
-77.0782611722434,38.9531026016395,94,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9733
-77.082174105284,38.9530932146076,95,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9679
-77.0782157479634,38.9530674637365,96,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9731
-77.0781490342851,38.9530075492783,97,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9730
-77.0781490358309,38.9529563462464,98,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9728
-77.0783756775779,38.9529476907144,99,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9727
-77.0783960039316,38.9529463979108,100,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9725
-77.0784260265387,38.9529080475671,101,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9724
-77.078395925787,38.9529068156056,102,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9722
-77.0691664858287,38.9528820212046,103,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9721
-77.0674670043283,38.9528547643719,104,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9782
-77.0673741329659,38.9528541783431,105,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9781
-77.0679122655707,38.9528189779346,106,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9780
-77.0682917161089,38.9527662206419,107,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9778
-77.0682837172992,38.9527501545536,108,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9777
-77.0682728322682,38.9527319551893,109,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9775
-77.0682626726841,38.9527123230847,110,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9774
-77.068243459689,38.9526836789821,111,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9772
-77.0682253490251,38.9526495932354,112,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9771
-77.0682084312362,38.9526202901833,113,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9769
-76.9936219452954,38.9525691375434,114,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9358
-77.0776807543583,38.9525184418084,115,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_9720
-76.9937887916989,38.9525382481516,116,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9357
-76.9942809756785,38.952468134851,117,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9356
-77.0684340575473,38.9520345123757,118,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9718
-77.0683697982387,38.9520341265849,119,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9716
-77.0684585932635,38.9520317414785,120,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9715
-77.0832714203804,38.9519817358166,121,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9677
-77.08324340563,38.9519784227054,122,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9676
-77.0012235091643,38.9518738393367,123,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9347
-77.0018045365665,38.9518288805199,124,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9345
-77.0272014433003,38.9518205587668,125,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9367
-77.0821990185189,38.9517472616288,126,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9675
-77.0821960857312,38.9517250853133,127,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9674
-77.0042141942133,38.9516545443981,128,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9343
-77.0043444270208,38.9516005170136,129,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9342
-77.0042306067519,38.9515876753919,130,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9341
-77.0675862324239,38.951560647824,131,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9766
-77.0675742505784,38.9515411788577,132,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9764
-77.067666747266,38.9515377652691,133,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_9763
-77.0076373024698,38.9514999149751,134,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9340
-77.0681932838657,38.9514750499801,135,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9714
-77.068142960753,38.9514742145291,136,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9712
-77.0330293749914,38.9513710038866,137,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9374
-77.0330521821595,38.9513699254557,138,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9372
-77.0668360974732,38.9513325211088,139,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9762
-77.0673323863569,38.951088463351,140,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9761
-77.076482719567,38.950598171687,141,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9711
-77.0797495039117,38.950416057453,142,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9710
-77.0797449030359,38.9503767124292,143,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9709
-77.0797433028333,38.9503075209295,144,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9708
-77.0667673911409,38.950130928241,145,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9759
-77.0134636683668,38.9291186092448,146,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10977
-77.0327912980028,38.9291067848355,147,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10703
-77.0142482266834,38.9291085530231,148,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10975
-77.0295577222404,38.9290974590157,149,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10954
-77.0327910594773,38.9290896781165,150,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10702
-77.0295566950483,38.9290677949019,151,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10952
-77.0295826088894,38.9290664100731,152,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10951
-76.9608178352043,38.9290530745171,153,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_8136
-77.0261487862549,38.9290474556104,154,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10950
-77.0240793446528,38.9275714647273,155,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10924
-77.0309126497098,38.9275193292895,156,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10679
-77.0309347113912,38.9275187108862,157,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10678
-77.0310190244038,38.9275137609886,158,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10676
-77.031045826132,38.9275134475887,159,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10675
-77.0467945933891,38.9275069684739,160,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_8937
-77.0129441077602,38.9275122604302,161,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10963
-77.0799732248484,38.9274518412452,162,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9917
-77.0702063883696,38.9274559547138,163,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_122
-77.0800085654421,38.927445655366,164,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9916
-77.0323152015563,38.9274633685595,165,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10673
-77.0323617464226,38.9274614909581,166,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10671
-77.0799854173793,38.9274335370063,167,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9915
-77.079997071327,38.9274183139796,168,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9913
-77.036142299305,38.927425817982,169,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10670
-77.0361648650396,38.9274186764149,170,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10669
-77.0334592755547,38.9274183022916,171,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10667
-77.0334869530982,38.9274166728671,172,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10666
-77.0335566433971,38.9274137521988,173,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10664
-77.0335778855615,38.9274117642678,174,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10663
-77.0227860063418,38.9273991517738,175,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10923
-77.0227338522784,38.9273880726954,176,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10921
-77.0344381595411,38.9273590855225,177,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10662
-76.9992464086989,38.927347140997,178,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_11006
-77.0121408076003,38.9273449181105,179,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10962
-77.1032187605711,38.927166615592,180,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9940
-76.9581861581851,38.9271805230998,181,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_8140
-77.0406101408409,38.9271165276333,182,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10480
-77.0401842307729,38.9271159091551,183,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10478
-77.0401613032725,38.9271146108307,184,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10477
-77.0261202711034,38.9271111698756,185,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10920
-77.0356611274456,38.9270880548634,186,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10660
-77.0356930746967,38.9270690465711,187,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10659
-77.0323610666395,38.9270563421406,188,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10658
-76.9592572792114,38.9270443443332,189,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_8141
-77.0326172967855,38.9270300476963,190,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10656
-77.0357751662624,38.9270055038304,191,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10654
-77.0326124367512,38.926994286037,192,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10653
-77.0326110086927,38.9269481818725,193,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10651
-77.0358463689845,38.9269380457542,194,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10650
-77.0326084273307,38.9269271842073,195,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10649
-77.0348217919567,38.9269100784377,196,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10648
-77.0326058361679,38.9269099700375,197,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10647
-77.0305396712739,38.9268165354872,198,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_10645
-77.0733704702397,38.9267936833257,199,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_120
-77.0733717435012,38.9267758190298,200,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_119
-77.0733721562169,38.9267622252173,201,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_118
-77.0733714919128,38.9267442630462,202,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_117
-77.0257767697885,38.9267506973018,203,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_10915
-77.0552420140012,38.926734258661,204,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10332
-77.0551963176924,38.9267284879045,205,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10331
-77.0276268635124,38.9266929005951,206,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10914
-77.0275973632471,38.926692637316,207,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10913
-77.0531767928356,38.9266405662566,208,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10330
-77.0535847468831,38.9266295429055,209,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10328
-77.0535595811583,38.9266271402127,210,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10327
-77.0325847441878,38.9266094314502,211,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10643
-76.9594755473443,38.9265727627596,212,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_8142
-77.0428873754368,38.926521741711,213,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_10474
-77.0385167116701,38.9265175887366,214,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_10473
-77.0530979787275,38.9264998741496,215,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10325
-77.0530823082593,38.9264718113493,216,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10324
-77.0323006503599,38.9264516575797,217,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10642
-77.0530317661203,38.9263851022081,218,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10322
-77.053023658732,38.9263695034796,219,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10321
-77.0533583684316,38.9263582438778,220,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10320
-77.0530095278905,38.9263491781158,221,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10319
-77.0735302162496,38.9262767125802,222,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_114
-77.0735025383113,38.9262766489169,223,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_113
-77.0735513896135,38.9262765100815,224,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_111
-77.0736246435666,38.9262763648628,225,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_110
-77.081119765968,38.9262564037248,226,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9912
-77.0355867651822,38.9262788694287,227,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10640
-77.0356117443632,38.926278681653,228,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10639
-77.0811422518183,38.9262542801675,229,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9911
-77.0356351426809,38.9262766566571,230,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10637
-77.0811143002884,38.9262367423549,231,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9909
-77.0811385725526,38.9262336446596,232,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_9908
-77.0529416636451,38.926230659409,233,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10318
-77.032503811147,38.9262344017077,234,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10636
-77.0529299985478,38.9262073061229,235,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10317
-77.0360167590421,38.9262007436799,236,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10634
-77.0361408341878,38.9261962282398,237,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10633
-77.0432804833961,38.9261610298525,238,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10471
-77.0432861027642,38.9261471009113,239,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10470
-77.0359969842152,38.926138736513,240,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10631
-77.0360469762587,38.9261367482814,241,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10630
-77.0432928475761,38.9261253793576,242,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10468
-76.9596463885589,38.926126396671,243,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_8143
-77.0376750281658,38.9261090386382,244,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10466
-77.0443108479539,38.9261053056093,245,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10465
-77.0376612413391,38.9260984583084,246,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10463
-77.0376132880767,38.9260956541492,247,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10462
-76.9567090140624,38.9259899415168,248,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_8162
-77.0324812494741,38.925946646276,249,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10629
-77.035947199692,38.9259118503221,250,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10627
-77.036007467377,38.9259107417612,251,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10626
-77.036063052908,38.9259096256058,252,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_10625
-77.0780452217675,38.9258820757482,253,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_9906
-77.078039766461,38.9258816289753,254,7637,Grate Inlet,2017/03/09 00:00:00+00,E,GratePt_9905
